,rule_lhs,rule_rhs,lhs,rhs,judgment,confidence
33,be big business in,be huge in,Agriculture be big business in the United States,Agriculture be huge in the United States,Yes,1.0
34,be aimed for,be designed to help,This software be aimed for authors,This software be designed to help authors,Yes,1.0
35,send e-mail to,email to,Only registered users send e-mail to other users,Only registered users email to other users,Yes,1.0
36,need to upgrade,need to change,Bose need to upgrade this product,Bose need to change this product,Yes,1.0
37,end up marry,wed,Dad end up marry Mom,Dad wed Mom,Yes,1.0
38,be done with,be handled with,Bonding be done with composite fillings,Bonding be handled with composite fillings,Yes,1.0
39,be all about,be about,Weight management be all about energy balance,Weight management be about energy balance,Yes,1.0
40,be new to,be new to@R@,Students be new to the school,the school be new to Students,Yes,1.0
41,fail to make,havent made,Employers fail to make a good faith effort,Employers havent made a good faith effort,Yes,1.0
42,originate from,be imported from,These pictures originate from different sources,These pictures be imported from different sources,Yes,1.0
43,play a leading role in,play a critical role in,UNESCO play a leading role in adult education,UNESCO play a critical role in adult education,Yes,1.0
44,lash,sweep through,Hurricane Rita lash western Louisiana and eastern Texas,Hurricane Rita sweep through western Louisiana and eastern Texas,Yes,1.0
45,be available for,exist for,Overnight camping be available for a fee,Overnight camping exist for a fee,Yes,1.0
46,look to expand,want to grow,The band look to expand its ranks,The band want to grow its ranks,Yes,1.0
47,be a substitute for,be construed as,this web site be a substitute for medical advice,this web site be construed as medical advice,Yes,1.0
48,want to reconsider,reexamine,Council want to reconsider this initiative,Council reexamine this initiative,Yes,1.0
49,crave in,want more in,many people crave in their church,many people want more in their church,Yes,1.0
50,end up lose,miss out on,The Vikings end up lose this game,The Vikings miss out on this game,Yes,1.0
51,sit in,go in,everybody sit in the park,everybody go in the park,Yes,1.0
52,increase the cost of,affect the cost of,Regulations increase the cost of building,Regulations affect the cost of building,Yes,1.0
53,provide something for,offer something for,the menu provide something for all tastes,the menu offer something for all tastes,Yes,1.0
54,get out of,be out of,the soldier get out of his car,the soldier be out of his car,Yes,1.0
55,be composed of,consist of,the Chinese language be composed of characters,the Chinese language consist of characters,Yes,1.0
56,come for,keep come for,the birds come for four days,the birds keep come for four days,Yes,1.0
57,be aligned with,ally with,their interests be aligned with yours,their interests ally with yours,Yes,1.0
58,need to build,need to create,Students need to build their credit history,Students need to create their credit history,Yes,1.0
59,provide further information on,provide detail about,him provide further information on Muhammad 's life,him provide detail about Muhammad 's life,Yes,1.0
60,pray to,worship,these people pray to our God,these people worship our God,Yes,1.0
61,come look for,search for,this guy come look for an argument,this guy search for an argument,Yes,1.0
62,be held accountable for,be judged by,humans be held accountable for their actions,humans be judged by their actions,Yes,1.0
63,be designated as,be named as,Secondhand smoke be designated as a known human carcinogen,Secondhand smoke be named as a known human carcinogen,Yes,1.0
64,prevent,reduce the risk of,Cephalexin prevent the bacteria,Cephalexin reduce the risk of the bacteria,Yes,1.0
65,warn,caution,the chief warn him,the chief caution him,Yes,1.0
66,come in,be given in,the beer come in a bottle,the beer be given in a bottle,Yes,1.0
67,come from,be derived from,the colors come from the sunlight,the colors be derived from the sunlight,Yes,1.0
68,hear about,learn about,Wanna hear about my day,Wanna learn about my day,Yes,1.0
69,finish,finish up,your partner finish treatment,your partner finish up treatment,Yes,1.0
70,appear on,appear in,my credit appear on my account,my credit appear in my account,Yes,1.0
71,be an abbreviation of,mean,CERT be an abbreviation of Computer Emergency Response Team,CERT mean Computer Emergency Response Team,Yes,1.0
72,build,produce,A child build a new world,A child produce a new world,Yes,1.0
73,post on,post at,"Interview post on November 17 , 2007","Interview post at November 17 , 2007",Yes,1.0
74,love to hear from,enjoy hear from,Marie love to hear from readers,Marie enjoy hear from readers,Yes,1.0
75,prove to be,be something of,the programme prove to be a great success,the programme be something of a great success,Yes,1.0
76,be gonna go to,have the opportunity to go to,Best Actor be gonna go to Mickey Rourke,Best Actor have the opportunity to go to Mickey Rourke,Yes,1.0
77,die for,lay down his life for,the Lord Jesus Christ die for the sins of the world,the Lord Jesus Christ lay down his life for the sins of the world,Yes,1.0
78,be puzzled by,perplex@R@,Autistic children be puzzled by faces,faces perplex Autistic children,Yes,1.0
79,be open for,serve up,The lounge be open for lunch and dinner,The lounge serve up lunch and dinner,Yes,1.0
80,be divided up into,be subdivided into,The remainder of this document be divided up into sections,The remainder of this document be subdivided into sections,Yes,1.0
81,end in,reach,This process end in Oregon,This process reach Oregon,Yes,1.0
82,be covered by,be under,vehicles be covered by auto insurance,vehicles be under auto insurance,Yes,1.0
83,step out in,walk out in,Katie Holmes step out in Manhattan,Katie Holmes walk out in Manhattan,Yes,1.0
84,start on,get underway on,benefits start on the first of the month,benefits get underway on the first of the month,Yes,1.0
85,conduct,engage in,the Corporation conduct any activities,the Corporation engage in any activities,Yes,1.0
86,defend,stand up for,Iran defend itself,Iran stand up for itself,Yes,1.0
87,come into,start to come into,Jesus come into Cana of Galilee,Jesus start to come into Cana of Galilee,Yes,1.0
88,be grateful for,be greatful for,Kim be grateful for the info,Kim be greatful for the info,Yes,1.0
89,be contrary to,be contradictory to,him be contrary to his nature,him be contradictory to his nature,Yes,1.0
90,go out to,go over to,this traffic go out to the internet,this traffic go over to the internet,Yes,1.0
91,be better for,be healthier for,food be better for their body,food be healthier for their body,Yes,1.0
92,disappear with,take off with,just disappear with the wind,just take off with the wind,Yes,1.0
93,take the picture of,take picture of,The camera take the picture of the joint,The camera take picture of the joint,Yes,1.0
94,be prevent,protect from,The medicine be prevent withdrawal symptoms,The medicine protect from withdrawal symptoms,Yes,1.0
95,plan for,plan,Honda plan for U.S. sale,Honda plan U.S. sale,Yes,1.0
96,be fine for,be a good thing for,the weather be fine for the BBQ,the weather be a good thing for the BBQ,Yes,1.0
97,gain,appear to gain,prosecutors gain a murder indictment,prosecutors appear to gain a murder indictment,Yes,1.0
98,modify,update,cannot modify header information,cannot update header information,Yes,1.0
99,turn off,cut off,Your parent turn off comments,Your parent cut off comments,Yes,1.0
100,travel along,travel down,electrical impulse travel along the wire,electrical impulse travel down the wire,Yes,1.0
101,contain embedded,be embedded within@R@,COMMENT contain embedded spaces,spaces be embedded within COMMENT,Yes,1.0
102,have a wide range of,offer a wide selection of,The city have a wide range of clubs,The city offer a wide selection of clubs,Yes,1.0
103,announce,announce on,officials announce Thursday,officials announce on Thursday,Yes,1.0
104,open,begin,Registration open this month,Registration begin this month,Yes,1.0
105,speak about,talk about,Barack Obama speak about his economic stimulus package,Barack Obama talk about his economic stimulus package,Yes,1.0
106,be available on,be added to,The video be available on YouTube,The video be added to YouTube,Yes,1.0
107,lie on,be situated along,The house lie on the hillside,The house be situated along the hillside,Yes,1.0
108,be aimed for,be marketed to,This software be aimed for authors,This software be marketed to authors,Yes,1.0
109,take an interest in,want to learn more about,The locals take an interest in the game,The locals want to learn more about the game,Yes,1.0
110,marry,wed,Noe Schitt marry Ted Sherlock,Noe Schitt wed Ted Sherlock,Yes,1.0
111,prevent,protect against,foods prevent cancer,foods protect against cancer,Yes,1.0
112,want to participate in,want to be part of,business want to participate in the network,business want to be part of the network,Yes,1.0
113,be incorporated in,be included in,This page be incorporated in our news page,This page be included in our news page,Yes,1.0
114,be involved in,engage in,Only a minority be involved in violence,Only a minority engage in violence,Yes,1.0
115,hit theater on,debut,the movie hit theater on June 29,the movie debut June 29,Yes,1.0
116,participate in,engage in,The FDA participate in meetings,The FDA engage in meetings,Yes,1.0
117,be required for,be required to,insurance be required for all leased equipment,insurance be required to all leased equipment,Yes,1.0
118,undermine,weaken,Pervez Musharraf undermine the Constitution,Pervez Musharraf weaken the Constitution,Yes,1.0
119,be good for,be suitable for,the rivalry be good for the state,the rivalry be suitable for the state,Yes,1.0
120,decide to support,get behind,voters decide to support the Democratic Party,voters get behind the Democratic Party,Yes,1.0
121,transfer to,move to,the guest transfer to hotel,the guest move to hotel,Yes,1.0
122,regulate,be regulated under@R@,The EPA regulate tap water,tap water be regulated under The EPA,Yes,1.0
123,be the keeper of,be keeper of,Women be the keeper of seeds,Women be keeper of seeds,Yes,1.0
124,assist student in,assist in,classes assist student in pronunciation,classes assist in pronunciation,Yes,1.0
125,solve,settle,Apple solve that issue,Apple settle that issue,Yes,1.0
126,remain in,continue to be in,Canada remain in NATO,Canada continue to be in NATO,Yes,1.0
127,be important to,affect,proper nutrition be important to fitness,proper nutrition affect fitness,Yes,1.0
128,cover,be cover,her hair cover her face,her hair be cover her face,Yes,1.0
129,agree with,go along with,the general public agree with the decision,the general public go along with the decision,Yes,1.0
130,be done on,be performed with,every thing be done on the computer,every thing be performed with the computer,Yes,1.0
131,submit via,be submitted in,Information submit via forms,Information be submitted in forms,Yes,1.0
132,present,introduce,the opportunity present itself,the opportunity introduce itself,Yes,1.0
133,please visit,be posted on,more information please visit these links,more information be posted on these links,Yes,1.0
134,fix,correct,the court fix the terms,the court correct the terms,Yes,1.0
135,meet on,be conducted on,the board meet on April 20,the board be conducted on April 20,Yes,1.0
136,matter to,do matter to,our priorities matter to our community,our priorities do matter to our community,Yes,1.0
137,restart,reset,Johnny restart the job,Johnny reset the job,Yes,1.0
138,love to play,love play,Many people love to play basketball,Many people love play basketball,Yes,1.0
139,be felt in,extend up,The pain be felt in the chest,The pain extend up the chest,Yes,1.0
140,look fine on,look good on,Your carpet look fine on the surface,Your carpet look good on the surface,Yes,1.0
141,prevent,reduce the incidence of,Cephalexin prevent the bacteria,Cephalexin reduce the incidence of the bacteria,Yes,1.0
142,be placed in,be inserted in,the brackets be placed in the assembly,the brackets be inserted in the assembly,Yes,1.0
143,be a person with,be an individual with,The employee be a person with disabilities,The employee be an individual with disabilities,Yes,1.0
144,be required to select,be asked to specify,The sponsor be required to select investigators,The sponsor be asked to specify investigators,Yes,1.0
145,want to be in,want to join,Ive want to be in the music business,Ive want to join the music business,Yes,1.0
146,agree to comply with,accept the term of,ACC agree to comply with the legislation,ACC accept the term of the legislation,Yes,1.0
147,speed,speed up,A fan speed air circulation,A fan speed up air circulation,Yes,1.0
148,have a love for,be fond of,My father have a love for education,My father be fond of education,Yes,1.0
149,leave out,skip,This one leave out the little guy,This one skip the little guy,Yes,1.0
150,have location in,have operation in,some of the national companies have location in your area,some of the national companies have operation in your area,Yes,1.0
151,be arrested in,be captured in,Four people be arrested in connection,Four people be captured in connection,Yes,1.0
152,elaborate on,discuss some of,The International Committee of the Red Cross elaborate on the Geneva Conventions,The International Committee of the Red Cross discuss some of the Geneva Conventions,Yes,1.0
153,be needed for,be essential to,Minerals be needed for growth,Minerals be essential to growth,Yes,1.0
154,be required for,be required with,insurance be required for all leased equipment,insurance be required with all leased equipment,Yes,1.0
155,get to do something about,do something about,the federal government get to do something about illegal immigration,the federal government do something about illegal immigration,Yes,1.0
156,provide user with,be offered as,This database provide user with easy access,This database be offered as easy access,Yes,1.0
157,hit theater on,be released in,the movie hit theater on June 29,the movie be released in June 29,Yes,1.0
158,depart at,go at,The vehicle depart at a high rate of speed,The vehicle go at a high rate of speed,Yes,1.0
159,decide to support,decide to vote for,voters decide to support the Democratic Party,voters decide to vote for the Democratic Party,Yes,1.0
160,win,go on to win,The Saints win a home game,The Saints go on to win a home game,Yes,1.0
161,pay for,cover,employers pay for unemployment taxes,employers cover unemployment taxes,Yes,1.0
162,have a few of,get some of,Ive have a few of her books,Ive get some of her books,Yes,1.0
163,volunteer for,be a volunteer for,Individuals volunteer for active duty,Individuals be a volunteer for active duty,Yes,1.0
164,offer a master of,offer program in,The Department of Biology offer a master of science degree,The Department of Biology offer program in science degree,Yes,1.0
165,remain in,continue in,The children 's mother remain in jail,The children 's mother continue in jail,Yes,1.0
166,have the feeling of,get a feeling of,youll have the feeling of satisfaction,youll get a feeling of satisfaction,Yes,1.0
167,involve the use of,be carried out with,Hypnotherapy involve the use of psychotherapy,Hypnotherapy be carried out with psychotherapy,Yes,1.0
168,go on,be expected to go on,the band go on tour,the band be expected to go on tour,Yes,1.0
169,need a change in,need change in,This country need a change in direction,This country need change in direction,Yes,1.0
170,give in to,indulge,students give in to their demand,students indulge their demand,Yes,1.0
171,be descendant of,be a descendent of,children be descendant of their natural parents,children be a descendent of their natural parents,Yes,1.0
172,recommend for,be recommended for,This apartment recommend for 5 adults,This apartment be recommended for 5 adults,Yes,1.0
173,be propagated to,propagate to,the changes be propagated to the primary database,the changes propagate to the primary database,Yes,1.0
174,be sold to,take over@R@,your account be sold to a third party,a third party take over your account,Yes,1.0
175,determine,establish,A positive outlook determine a positive outcome,A positive outlook establish a positive outcome,Yes,1.0
176,be the beginning of,bring,The fear of the LORD be the beginning of knowledge,The fear of the LORD bring knowledge,Yes,1.0
177,let out,let loose with,Leah let out a sigh,Leah let loose with a sigh,Yes,1.0
178,be free from,be devoid of,Men be free from disease,Men be devoid of disease,Yes,1.0
179,be felt in,be noticeable in,The pain be felt in the chest,The pain be noticeable in the chest,Yes,1.0
180,seem clear to,become apparent to,the truth seem clear to ourselves,the truth become apparent to ourselves,Yes,1.0
181,talk with,speak with,many people talk with the practitioners,many people speak with the practitioners,Yes,1.0
182,be more fond of,tend to enjoy,The Mongols be more fond of paper money,The Mongols tend to enjoy paper money,Yes,1.0
183,have location in,open a branch in,some of the national companies have location in your area,some of the national companies open a branch in your area,Yes,1.0
184,mess with,mess around with,No one mess with the Executioner,No one mess around with the Executioner,Yes,1.0
185,generate,happen,different methods generate different results,different methods happen different results,Yes,1.0
186,be the property of,remain the property of,this site be the property of Company,this site remain the property of Company,Yes,1.0
187,have a break in,take a break in,Mary have a break in study,Mary take a break in study,Yes,1.0
188,be called,be known as,Bratislava be called Bratislava,Bratislava be known as Bratislava,Yes,1.0
189,win,be expected to win,every contestant win a prize,every contestant be expected to win a prize,Yes,1.0
190,reflect,be indicative of,Websites reflect their owners,Websites be indicative of their owners,Yes,1.0
191,take on,be willing to take on,Robert Gibbs take on Sean Hannity,Robert Gibbs be willing to take on Sean Hannity,Yes,1.0
192,be reported to,be communicated to,this change be reported to immigration,this change be communicated to immigration,Yes,1.0
193,be employed at,be hired by,students be employed at the United Nations,students be hired by the United Nations,Yes,1.0
194,be designed to assist,be developed to help,These programs be designed to assist students,These programs be developed to help students,Yes,1.0
195,vote on,be introduced in@R@,The House vote on the report,the report be introduced in The House,Yes,1.0
196,be more common for,be more frequent in,This side effect be more common for women,This side effect be more frequent in women,Yes,1.0
197,be essential for,be essential in,exercise be essential for a healthy life,exercise be essential in a healthy life,Yes,1.0
198,be a marker for,be linked with,inflammation be a marker for many chronic diseases,inflammation be linked with many chronic diseases,Yes,1.0
199,build,be build,young people build leadership skills,young people be build leadership skills,Yes,1.0
200,wish have,hope to get,Many people wish have the talent,Many people hope to get the talent,Yes,1.0
201,indicate,signify,a code indicate the state or territory,a code signify the state or territory,Yes,1.0
202,take place after,be set after,The program take place after lunch,The program be set after lunch,Yes,1.0
203,be notified of,receive notification of,The administration be notified of this problem,The administration receive notification of this problem,Yes,1.0
204,be proficient in,communicate in,students be proficient in Spanish,students communicate in Spanish,Yes,1.0
205,be difficult for,be a problem for,This one be difficult for the younger set,This one be a problem for the younger set,Yes,1.0
206,aspire to,be interested in pursue,teenagers aspire to virginity,teenagers be interested in pursue virginity,Yes,1.0
207,be cremated in,be burnt in,His body be cremated in England,His body be burnt in England,Yes,1.0
208,be an avid reader of,be a regular reader of,Bob Dylan be an avid reader of history,Bob Dylan be a regular reader of history,Yes,1.0
209,cut down on,lower,INTERNATIONAL PHARMACY cut down on the bill,INTERNATIONAL PHARMACY lower the bill,Yes,1.0
210,be set up for,be formed for,The dining room tables be set up for six people,The dining room tables be formed for six people,Yes,1.0
211,be into,be drawn to,your teen be into music,your teen be drawn to music,Yes,1.0
212,return a list of,give a list of,Our search engine return a list of documents,Our search engine give a list of documents,Yes,1.0
213,be sold at,be purchased from,Fishing licenses be sold at the park,Fishing licenses be purchased from the park,Yes,1.0
214,get on,get up on,the crew get on stage,the crew get up on stage,Yes,1.0
215,fool,trick,This feature fool a user,This feature trick a user,Yes,1.0
216,come out of,come out from,the carbon dioxide come out of solution,the carbon dioxide come out from solution,Yes,1.0
217,help out,do something for,the military help out the family,the military do something for the family,Yes,1.0
218,take care of,feed,Parents take care of their personal needs,Parents feed their personal needs,Yes,1.0
219,cure,be the cure for,Rivastigmine cure Alzheimer 's disease,Rivastigmine be the cure for Alzheimer 's disease,Yes,1.0
220,drive about,travel,Al Gore III drive about 100 mph,Al Gore III travel 100 mph,Yes,1.0
221,drive about,travel up to,Al Gore III drive about 100 mph,Al Gore III travel up to 100 mph,Yes,1.0
222,speak about,say about,Barack Obama speak about his economic stimulus package,Barack Obama say about his economic stimulus package,Yes,1.0
223,be made based on,be based upon,revisions be made based on events,revisions be based upon events,Yes,1.0
224,be sponsored by,be supported by,Site be sponsored by the National Institute,Site be supported by the National Institute,Yes,1.0
225,be generous of,be generous with,Some of them be generous of their time,Some of them be generous with their time,Yes,1.0
226,have a crush on,be attracted to,Mai have a crush on Andy,Mai be attracted to Andy,Yes,1.0
227,witness,get to see,A police officer witness the incident,A police officer get to see the incident,Yes,1.0
228,be connected to,have access to,the machine be connected to a local network,the machine have access to a local network,Yes,1.0
229,be presented to,be forwarded to,a separation agreement be presented to the court,a separation agreement be forwarded to the court,Yes,1.0
230,be given to,be made available to,Power be given to the Antichrist,Power be made available to the Antichrist,Yes,1.0
231,run out of,get out of,Bruno run out of the room,Bruno get out of the room,Yes,1.0
232,be regarded as,be described as,Chennai be regarded as the Gateway,Chennai be described as the Gateway,Yes,1.0
233,be composed of,be a combination of,the Chinese language be composed of characters,the Chinese language be a combination of characters,Yes,1.0
234,open for,open up for,our company open for business,our company open up for business,Yes,1.0
235,stay for,stay over,Children stay for the whole day,Children stay over the whole day,Yes,1.0
236,be specific to,be unique to,ProductCart be specific to Google Checkout,ProductCart be unique to Google Checkout,Yes,1.0
237,overhaul,change up,Blogger overhaul their system,Blogger change up their system,Yes,1.0
238,be hijacked by,be taken over by,The republic be hijacked by Forces,The republic be taken over by Forces,Yes,1.0
239,be impacted by,feel the effect of,the Greater Yellowstone Area be impacted by brucellosis,the Greater Yellowstone Area feel the effect of brucellosis,Yes,1.0
240,grant,decide to grant,The monarch grant a dissolution,The monarch decide to grant a dissolution,Yes,1.0
241,introduce,announce the release of,Google introduce Video search,Google announce the release of Video search,Yes,1.0
242,like to design,enjoy design,Peter like to design things,Peter enjoy design things,Yes,1.0
243,be done before,be complete by,his best work be done before World War II,his best work be complete by World War II,Yes,1.0
244,have many benefit for,be healthy for,the partnership have many benefit for both companies,the partnership be healthy for both companies,Yes,1.0
245,permit,be allowed in@R@,The Supreme Court permit the defendant,the defendant be allowed in The Supreme Court,Yes,1.0
246,walk for,travel for,Men walk for two to three hours,Men travel for two to three hours,Yes,1.0
247,persevere in,remain firm in,the Catholic missionaries persevere in their work,the Catholic missionaries remain firm in their work,Yes,1.0
248,have load of,get ton of,This phone have load of features,This phone get ton of features,Yes,1.0
249,need a bit of,need some kind of,This one need a bit of polish,This one need some kind of polish,Yes,1.0
250,increase,help boost,The law increase license fees,The law help boost license fees,Yes,1.0
251,erase all of,erase,Most libraries erase all of this information,Most libraries erase this information,Yes,1.0
252,be supposed to be,be considered,The Egyptians be supposed to be the first people,The Egyptians be considered the first people,Yes,1.0
253,last for,be for,pelvic pain last for months,pelvic pain be for months,Yes,1.0
254,end up marry,marry to,Dad end up marry Mom,Dad marry to Mom,Yes,1.0
255,plan,coordinate,the same group plan this attack,the same group coordinate this attack,Yes,1.0
256,consult,check with,Many people consult professionals,Many people check with professionals,Yes,1.0
257,be provided for,be provided on,Telephone support be provided for questions,Telephone support be provided on questions,Yes,1.0
258,be removed from,be deleted from,the data be removed from the system,the data be deleted from the system,Yes,1.0
259,be grateful for,acknowledge,the community be grateful for the support,the community acknowledge the support,Yes,1.0
260,use a combination of,use a variety of,Chiropractors use a combination of treatments,Chiropractors use a variety of treatments,Yes,1.0
261,make of,consist of,the cross make of cloth,the cross consist of cloth,Yes,1.0
262,kick off in,be scheduled to start in,The program kick off in July 2003,The program be scheduled to start in July 2003,Yes,1.0
263,try to sell,attempt to sell,the owner try to sell the car,the owner attempt to sell the car,Yes,1.0
264,be classified as,be known to be,this email be classified as spam,this email be known to be spam,Yes,1.0
265,be out,be off,his sons be out hunting,his sons be off hunting,Yes,1.0
266,mistreat,wrong,his friend mistreat him,his friend wrong him,Yes,1.0
267,be on for,stay on for,the system be on for a long time,the system stay on for a long time,Yes,1.0
268,open in,open up in,This link open in a new window,This link open up in a new window,Yes,1.0
269,be available in,be available with,Forms be available in PDF format,Forms be available with PDF format,Yes,1.0
270,hit theater on,premiere on,the movie hit theater on June 29,the movie premiere on June 29,Yes,1.0
271,spend time with,go to visit,the children spend time with Jim,the children go to visit Jim,Yes,1.0
272,be intended for,be offered for,This course be intended for students,This course be offered for students,Yes,1.0
273,move up,run up,The effects move up the food chain,The effects run up the food chain,Yes,1.0
274,give way to,succumb to,image give way to reality,image succumb to reality,Yes,1.0
275,set up,install,Parents set up the furniture,Parents install the furniture,Yes,1.0
276,be infected with,be positive for,my home computer be infected with a virus,my home computer be positive for a virus,Yes,1.0
277,be scheduled for,be held in,a resolution be scheduled for Tuesday,a resolution be held in Tuesday,Yes,1.0
278,fit in with,seem to fit,The logo fit in with the designs,The logo seem to fit the designs,Yes,1.0
279,own a number of,own a bunch of,Time Warner own a number of cable networks,Time Warner own a bunch of cable networks,Yes,1.0
280,be a measure of,be expressed as,Mortality rate be a measure of the number of deaths,Mortality rate be expressed as the number of deaths,Yes,1.0
281,come look for,hope to find,this guy come look for an argument,this guy hope to find an argument,Yes,1.0
282,be proud of,take great pride in,Government be proud of its contribution,Government take great pride in its contribution,Yes,1.0
283,be grateful for,be appreciative of,Kim be grateful for the info,Kim be appreciative of the info,Yes,1.0
284,monitor the progress of,know the status of,Candidates monitor the progress of students,Candidates know the status of students,Yes,1.0
285,last,run for,Each session last 3 hours,Each session run for 3 hours,Yes,1.0
286,be stored in,be put into,Your personal information be stored in a secure location,Your personal information be put into a secure location,Yes,1.0
287,be free for,be offered for,The service be free for all visitors,The service be offered for all visitors,Yes,1.0
288,come out on,be released on,The Movie come out on video,The Movie be released on video,Yes,1.0
289,rely on,refer to,Judges rely on the information,Judges refer to the information,Yes,1.0
290,make of,be crafted from,the cross make of cloth,the cross be crafted from cloth,Yes,1.0
291,involve,utilize,the voyage involve sailing,the voyage utilize sailing,Yes,1.0
292,be paved with,be filled in with,the courtyard be paved with marble,the courtyard be filled in with marble,Yes,1.0
293,be received by,be submitted to,The letters be received by the public,The letters be submitted to the public,Yes,1.0
294,be performed,occur,An autopsy be performed Thursday,An autopsy occur Thursday,Yes,1.0
295,acknowledge,admit to,everybody acknowledge his influence,everybody admit to his influence,Yes,1.0
296,be involved in,be a part of,Only a minority be involved in violence,Only a minority be a part of violence,Yes,1.0
297,be loaded into,be entered into,a TSR program be loaded into memory,a TSR program be entered into memory,Yes,1.0
298,be most valuable to,deliver value to,skills be most valuable to any employer,skills deliver value to any employer,Yes,1.0
299,steer clear of,avoid,Most people steer clear of him,Most people avoid him,Yes,1.0
300,be last updated in,be last updated on,This Policy be last updated in August 2008,This Policy be last updated on August 2008,Yes,1.0
301,know about,hear of,he/she know about a subject,he/she hear of a subject,Yes,1.0
302,please feel free to,feel free to,some folks please feel free to print,some folks feel free to print,Yes,1.0
303,eat,devour,the big fish eat the little fish,the big fish devour the little fish,Yes,1.0
304,be printed on,be printed onto,Your image be printed on paper,Your image be printed onto paper,Yes,1.0
305,last,last for,Each session last 3 hours,Each session last for 3 hours,Yes,1.0
306,publish,print,The New York Times publish the Pentagon Papers,The New York Times print the Pentagon Papers,Yes,1.0
307,start from,be set to begin at,The story start from these questions,The story be set to begin at these questions,Yes,1.0
308,progress towards,come closer to,the city progress towards regeneration,the city come closer to regeneration,Yes,1.0
309,be the result of,be the outcome of,MS be the result of a number of factors,MS be the outcome of a number of factors,Yes,1.0
310,join with,gather with,All our family join with him,All our family gather with him,Yes,1.0
311,be the parent of,be a mother of,his wife be the parent of two children,his wife be a mother of two children,Yes,1.0
312,be given for,be for,this information be given for training,this information be for training,Yes,1.0
313,be happy with,be delighted with,developers be happy with your requirements,developers be delighted with your requirements,Yes,1.0
314,go up on,climb to,Moses go up on Mount Cyanide,Moses climb to Mount Cyanide,Yes,1.0
315,return from,return home from,your children return from school,your children return home from school,Yes,1.0
316,be available to,open to,a new site be available to the public,a new site open to the public,Yes,1.0
317,stand for,be the abbreviation of,URL stand for Uniform Resource Locator,URL be the abbreviation of Uniform Resource Locator,Yes,1.0
318,feature,be equiped with,The site feature listings,The site be equiped with listings,Yes,1.0
319,include this in,state this in,my boss include this in my profile,my boss state this in my profile,Yes,1.0
320,charge,impose,Most cards charge a fee,Most cards impose a fee,Yes,1.0
321,bake,try to make,many families bake Christmas cookies,many families try to make Christmas cookies,Yes,1.0
322,cite,point out,The bibliography cite 3 sources,The bibliography point out 3 sources,Yes,1.0
323,be called by,be implemented by,Special meetings be called by the Chair,Special meetings be implemented by the Chair,Yes,1.0
