rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
be the property of	remain the property of	this site be the property of Company	this site remain the property of Company	Yes	1
have a break in	take a break in	Mary have a break in study	Mary take a break in study	Yes	1
be called	be known as	Bratislava be called Bratislava	Bratislava be known as Bratislava	Yes	1
win	be expected to win	every contestant win a prize	every contestant be expected to win a prize	Yes	1
reflect	be indicative of	Websites reflect their owners	Websites be indicative of their owners	Yes	1
take on	be willing to take on	Robert Gibbs take on Sean Hannity	Robert Gibbs be willing to take on Sean Hannity	Yes	1
be reported to	be communicated to	this change be reported to immigration	this change be communicated to immigration	Yes	1
be employed at	be hired by	students be employed at the United Nations	students be hired by the United Nations	Yes	1
be designed to assist	be developed to help	These programs be designed to assist students	These programs be developed to help students	Yes	1
vote on	be introduced in@R@	The House vote on the report	the report be introduced in The House	Yes	1
be more common for	be more frequent in	This side effect be more common for women	This side effect be more frequent in women	Yes	1
be essential for	be essential in	exercise be essential for a healthy life	exercise be essential in a healthy life	Yes	1
be a marker for	be linked with	inflammation be a marker for many chronic diseases	inflammation be linked with many chronic diseases	Yes	1
build	be build	young people build leadership skills	young people be build leadership skills	Yes	1
wish have	hope to get	Many people wish have the talent	Many people hope to get the talent	Yes	1
indicate	signify	a code indicate the state or territory	a code signify the state or territory	Yes	1
take place after	be set after	The program take place after lunch	The program be set after lunch	Yes	1
be notified of	receive notification of	The administration be notified of this problem	The administration receive notification of this problem	Yes	1
be proficient in	communicate in	students be proficient in Spanish	students communicate in Spanish	Yes	1
be difficult for	be a problem for	This one be difficult for the younger set	This one be a problem for the younger set	Yes	1
aspire to	be interested in pursue	teenagers aspire to virginity	teenagers be interested in pursue virginity	Yes	1
be cremated in	be burnt in	His body be cremated in England	His body be burnt in England	Yes	1
be an avid reader of	be a regular reader of	Bob Dylan be an avid reader of history	Bob Dylan be a regular reader of history	Yes	1
cut down on	lower	INTERNATIONAL PHARMACY cut down on the bill	INTERNATIONAL PHARMACY lower the bill	Yes	1
be set up for	be formed for	The dining room tables be set up for six people	The dining room tables be formed for six people	Yes	1
be into	be drawn to	your teen be into music	your teen be drawn to music	Yes	1
return a list of	give a list of	Our search engine return a list of documents	Our search engine give a list of documents	Yes	1
be sold at	be purchased from	Fishing licenses be sold at the park	Fishing licenses be purchased from the park	Yes	1
get on	get up on	the crew get on stage	the crew get up on stage	Yes	1
fool	trick	This feature fool a user	This feature trick a user	Yes	1
come out of	come out from	the carbon dioxide come out of solution	the carbon dioxide come out from solution	Yes	1
help out	do something for	the military help out the family	the military do something for the family	Yes	1
take care of	feed	Parents take care of their personal needs	Parents feed their personal needs	Yes	1
cure	be the cure for	Rivastigmine cure Alzheimer 's disease	Rivastigmine be the cure for Alzheimer 's disease	Yes	1
drive about	travel	Al Gore III drive about 100 mph	Al Gore III travel 100 mph	Yes	1
drive about	travel up to	Al Gore III drive about 100 mph	Al Gore III travel up to 100 mph	Yes	1
speak about	say about	Barack Obama speak about his economic stimulus package	Barack Obama say about his economic stimulus package	Yes	1
be made based on	be based upon	revisions be made based on events	revisions be based upon events	Yes	1
be sponsored by	be supported by	Site be sponsored by the National Institute	Site be supported by the National Institute	Yes	1
be generous of	be generous with	Some of them be generous of their time	Some of them be generous with their time	Yes	1
have a crush on	be attracted to	Mai have a crush on Andy	Mai be attracted to Andy	Yes	1
witness	get to see	A police officer witness the incident	A police officer get to see the incident	Yes	1
be connected to	have access to	the machine be connected to a local network	the machine have access to a local network	Yes	1
be presented to	be forwarded to	a separation agreement be presented to the court	a separation agreement be forwarded to the court	Yes	1
be given to	be made available to	Power be given to the Antichrist	Power be made available to the Antichrist	Yes	1
run out of	get out of	Bruno run out of the room	Bruno get out of the room	Yes	1
be regarded as	be described as	Chennai be regarded as the Gateway	Chennai be described as the Gateway	Yes	1
be composed of	be a combination of	the Chinese language be composed of characters	the Chinese language be a combination of characters	Yes	1
open for	open up for	our company open for business	our company open up for business	Yes	1
stay for	stay over	Children stay for the whole day	Children stay over the whole day	Yes	1
be specific to	be unique to	ProductCart be specific to Google Checkout	ProductCart be unique to Google Checkout	Yes	1
overhaul	change up	Blogger overhaul their system	Blogger change up their system	Yes	1
be hijacked by	be taken over by	The republic be hijacked by Forces	The republic be taken over by Forces	Yes	1
be impacted by	feel the effect of	the Greater Yellowstone Area be impacted by brucellosis	the Greater Yellowstone Area feel the effect of brucellosis	Yes	1
grant	decide to grant	The monarch grant a dissolution	The monarch decide to grant a dissolution	Yes	1
introduce	announce the release of	Google introduce Video search	Google announce the release of Video search	Yes	1
like to design	enjoy design	Peter like to design things	Peter enjoy design things	Yes	1
be done before	be complete by	his best work be done before World War II	his best work be complete by World War II	Yes	1
have many benefit for	be healthy for	the partnership have many benefit for both companies	the partnership be healthy for both companies	Yes	1
permit	be allowed in@R@	The Supreme Court permit the defendant	the defendant be allowed in The Supreme Court	Yes	1
walk for	travel for	Men walk for two to three hours	Men travel for two to three hours	Yes	1
persevere in	remain firm in	the Catholic missionaries persevere in their work	the Catholic missionaries remain firm in their work	Yes	1
have load of	get ton of	This phone have load of features	This phone get ton of features	Yes	1
need a bit of	need some kind of	This one need a bit of polish	This one need some kind of polish	Yes	1
increase	help boost	The law increase license fees	The law help boost license fees	Yes	1
erase all of	erase	Most libraries erase all of this information	Most libraries erase this information	Yes	1
be supposed to be	be considered	The Egyptians be supposed to be the first people	The Egyptians be considered the first people	Yes	1
last for	be for	pelvic pain last for months	pelvic pain be for months	Yes	1
end up marry	marry to	Dad end up marry Mom	Dad marry to Mom	Yes	1
plan	coordinate	the same group plan this attack	the same group coordinate this attack	Yes	1
consult	check with	Many people consult professionals	Many people check with professionals	Yes	1
be provided for	be provided on	Telephone support be provided for questions	Telephone support be provided on questions	Yes	1
be removed from	be deleted from	the data be removed from the system	the data be deleted from the system	Yes	1
be grateful for	acknowledge	the community be grateful for the support	the community acknowledge the support	Yes	1
use a combination of	use a variety of	Chiropractors use a combination of treatments	Chiropractors use a variety of treatments	Yes	1
make of	consist of	the cross make of cloth	the cross consist of cloth	Yes	1
kick off in	be scheduled to start in	The program kick off in July 2003	The program be scheduled to start in July 2003	Yes	1
try to sell	attempt to sell	the owner try to sell the car	the owner attempt to sell the car	Yes	1
be classified as	be known to be	this email be classified as spam	this email be known to be spam	Yes	1
be out	be off	his sons be out hunting	his sons be off hunting	Yes	1
mistreat	wrong	his friend mistreat him	his friend wrong him	Yes	1
be on for	stay on for	the system be on for a long time	the system stay on for a long time	Yes	1
open in	open up in	This link open in a new window	This link open up in a new window	Yes	1
be available in	be available with	Forms be available in PDF format	Forms be available with PDF format	Yes	1
hit theater on	premiere on	the movie hit theater on June 29	the movie premiere on June 29	Yes	1
spend time with	go to visit	the children spend time with Jim	the children go to visit Jim	Yes	1
be intended for	be offered for	This course be intended for students	This course be offered for students	Yes	1
move up	run up	The effects move up the food chain	The effects run up the food chain	Yes	1
give way to	succumb to	image give way to reality	image succumb to reality	Yes	1
set up	install	Parents set up the furniture	Parents install the furniture	Yes	1
be infected with	be positive for	my home computer be infected with a virus	my home computer be positive for a virus	Yes	1
be scheduled for	be held in	a resolution be scheduled for Tuesday	a resolution be held in Tuesday	Yes	1
fit in with	seem to fit	The logo fit in with the designs	The logo seem to fit the designs	Yes	1
own a number of	own a bunch of	Time Warner own a number of cable networks	Time Warner own a bunch of cable networks	Yes	1
be a measure of	be expressed as	Mortality rate be a measure of the number of deaths	Mortality rate be expressed as the number of deaths	Yes	1
come look for	hope to find	this guy come look for an argument	this guy hope to find an argument	Yes	1
be proud of	take great pride in	Government be proud of its contribution	Government take great pride in its contribution	Yes	1
be grateful for	be appreciative of	Kim be grateful for the info	Kim be appreciative of the info	Yes	1
monitor the progress of	know the status of	Candidates monitor the progress of students	Candidates know the status of students	Yes	1
last	run for	Each session last 3 hours	Each session run for 3 hours	Yes	1
be stored in	be put into	Your personal information be stored in a secure location	Your personal information be put into a secure location	Yes	1
be free for	be offered for	The service be free for all visitors	The service be offered for all visitors	Yes	1
come out on	be released on	The Movie come out on video	The Movie be released on video	Yes	1
rely on	refer to	Judges rely on the information	Judges refer to the information	Yes	1
make of	be crafted from	the cross make of cloth	the cross be crafted from cloth	Yes	1
involve	utilize	the voyage involve sailing	the voyage utilize sailing	Yes	1
be paved with	be filled in with	the courtyard be paved with marble	the courtyard be filled in with marble	Yes	1
be received by	be submitted to	The letters be received by the public	The letters be submitted to the public	Yes	1
be performed	occur	An autopsy be performed Thursday	An autopsy occur Thursday	Yes	1
acknowledge	admit to	everybody acknowledge his influence	everybody admit to his influence	Yes	1
be involved in	be a part of	Only a minority be involved in violence	Only a minority be a part of violence	Yes	1
be loaded into	be entered into	a TSR program be loaded into memory	a TSR program be entered into memory	Yes	1
be most valuable to	deliver value to	skills be most valuable to any employer	skills deliver value to any employer	Yes	1
steer clear of	avoid	Most people steer clear of him	Most people avoid him	Yes	1
be last updated in	be last updated on	This Policy be last updated in August 2008	This Policy be last updated on August 2008	Yes	1
know about	hear of	he/she know about a subject	he/she hear of a subject	Yes	1
please feel free to	feel free to	some folks please feel free to print	some folks feel free to print	Yes	1
eat	devour	the big fish eat the little fish	the big fish devour the little fish	Yes	1
be printed on	be printed onto	Your image be printed on paper	Your image be printed onto paper	Yes	1
last	last for	Each session last 3 hours	Each session last for 3 hours	Yes	1
publish	print	The New York Times publish the Pentagon Papers	The New York Times print the Pentagon Papers	Yes	1
start from	be set to begin at	The story start from these questions	The story be set to begin at these questions	Yes	1
progress towards	come closer to	the city progress towards regeneration	the city come closer to regeneration	Yes	1
be the result of	be the outcome of	MS be the result of a number of factors	MS be the outcome of a number of factors	Yes	1
join with	gather with	All our family join with him	All our family gather with him	Yes	1
be the parent of	be a mother of	his wife be the parent of two children	his wife be a mother of two children	Yes	1
be given for	be for	this information be given for training	this information be for training	Yes	1
be happy with	be delighted with	developers be happy with your requirements	developers be delighted with your requirements	Yes	1
go up on	climb to	Moses go up on Mount Cyanide	Moses climb to Mount Cyanide	Yes	1
return from	return home from	your children return from school	your children return home from school	Yes	1
be available to	open to	a new site be available to the public	a new site open to the public	Yes	1
stand for	be the abbreviation of	URL stand for Uniform Resource Locator	URL be the abbreviation of Uniform Resource Locator	Yes	1
feature	be equiped with	The site feature listings	The site be equiped with listings	Yes	1
include this in	state this in	my boss include this in my profile	my boss state this in my profile	Yes	1
charge	impose	Most cards charge a fee	Most cards impose a fee	Yes	1
bake	try to make	many families bake Christmas cookies	many families try to make Christmas cookies	Yes	1
cite	point out	The bibliography cite 3 sources	The bibliography point out 3 sources	Yes	1
be called by	be implemented by	Special meetings be called by the Chair	Special meetings be implemented by the Chair	Yes	1
have a great influence on	have an influence on	His life have a great influence on others	His life have an influence on others	Yes	1
be overwhelmed by	be overcome by	the island be overwhelmed by development	the island be overcome by development	Yes	1
come into	come in to	A guy come into the room	A guy come in to the room	Yes	1
declare	call	my mouth declare Thy praise	my mouth call Thy praise	Yes	1
end up make	make	Google end up make billions	Google make billions	Yes	1
happen through	be made possible by	experience happen through trial and error	experience be made possible by trial and error	Yes	1
be propagated to	be moved over to	the changes be propagated to the primary database	the changes be moved over to the primary database	Yes	1
be important for	be great for	Regular physical activity be important for your overall health and fitness	Regular physical activity be great for your overall health and fitness	Yes	1
have a range of	offer a wide choice of	this book have a range of flavors	this book offer a wide choice of flavors	Yes	1
embark on	get ready for	others embark on studies	others get ready for studies	Yes	1
be designed in	be done in	All rooms be designed in pastel colours	All rooms be done in pastel colours	Yes	1
belong to	be property of	Athens belong to Minerva	Athens be property of Minerva	Yes	1
be referred to as	be considered to be	Seattle be referred to as the rainy city	Seattle be considered to be the rainy city	Yes	1
run until	go on until	This exhibit run until July 6 , 2008	This exhibit go on until July 6 , 2008	Yes	1
bear	be to bear	Each party bear its own legal costs	Each party be to bear its own legal costs	Yes	1
be similar to	be the same as	the symptoms be similar to those of a number of other conditions	the symptoms be the same as those of a number of other conditions	Yes	1
fall down	tumble down	the dude fall down the stairs	the dude tumble down the stairs	Yes	1
be to bring	be to provide an opportunity for	The idea be to bring information	The idea be to provide an opportunity for information	Yes	1
pass on	pass away	him pass on that evening	him pass away that evening	Yes	1
be given throughout	continue throughout	Tests be given throughout the morning	Tests continue throughout the morning	Yes	1
run out of	seem to run out of	Bruno run out of the room	Bruno seem to run out of the room	Yes	1
progress towards	get closer to	the city progress towards regeneration	the city get closer to regeneration	Yes	1
build	be build	a settler build his cabin	a settler be build his cabin	Yes	1
be proud of	feel proud of	All of you be proud of yourselves	All of you feel proud of yourselves	Yes	1
remain on	remain at	All traffic remain on your site	All traffic remain at your site	Yes	1
start out with	open with	the program start out with the heading	the program open with the heading	Yes	1
do more on	do something on	Japan do more on security	Japan do something on security	Yes	1
declare	issue	my mouth declare Thy praise	my mouth issue Thy praise	Yes	1
be renowned for	be respected for	The College be renowned for its award	The College be respected for its award	Yes	1
browse	access	the individuals browse the site	the individuals access the site	Yes	1
be sold throughout	be sold within	These dogs be sold throughout America	These dogs be sold within America	Yes	1
consist of	encompass	The model consist of seven layers	The model encompass seven layers	Yes	1
contact	speak to	The parties contact each other	The parties speak to each other	Yes	1
serve as	be made	a web site serve as a gateway	a web site be made a gateway	Yes	1
