rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
enter	need to enter	a girl enter the room	a girl need to enter the room	No	1
step from	jump off	president step from his post	president jump off his post	No	1
relocate from	move home to	Most of my family relocate from New York	Most of my family move home to New York	No	1
bow	start shake	the father bow his head	the father start shake his head	No	1
discuss	negotiate	The two men discuss the incident	The two men negotiate the incident	No	1
provide further information on	offer an overview of	him provide further information on Muhammad 's life	him offer an overview of Muhammad 's life	No	1
tease	seem to like	The guys tease their fans	The guys seem to like their fans	No	1
know about	get more information about	Many of you know about the site	Many of you get more information about the site	No	1
own	be sold to@R@	Microsoft own the desktop	the desktop be sold to Microsoft	No	1
affect the health of	be more susceptible to@R@	issues affect the health of the public	the public be more susceptible to issues	No	1
stop take	continue take	women stop take the pills	women continue take the pills	No	1
proceed to	be ordered to	The heavy cruiser proceed to Norfolk	The heavy cruiser be ordered to Norfolk	No	1
congratulate	be board certified by	McCain congratulate the victor	McCain be board certified by the victor	No	1
work as	work full time as	Some children work as guides	Some children work full time as guides	No	1
step in for	head home with	Michelle Obama step in for her husband	Michelle Obama head home with her husband	No	1
have a special meaning to	have no meaning to	various things have a special meaning to him	various things have no meaning to him	No	1
be new to	do a lot of	student be new to computers	student do a lot of computers	No	1
be dedicated by	be founded by	The ietf be dedicated by the internet architecture board	The ietf be founded by the internet architecture board	No	1
be published in	be published online in	This book be published in the UK.	This book be published online in the UK.	No	1
step out in	masturbate in	Katie Holmes step out in Manhattan	Katie Holmes masturbate in Manhattan	No	1
respect	question	friends respect privacy	friends question privacy	No	1
like to play	suck at	Billy like to play golf	Billy suck at golf	No	1
die for	be crucified for	the Lord Jesus Christ die for the sins of the world	the Lord Jesus Christ be crucified for the sins of the world	No	1
tend to neglect	underestimate the importance of	Robert tend to neglect his family	Robert underestimate the importance of his family	No	1
influence	interfere with	the judge influence the outcome	the judge interfere with the outcome	No	1
set out to destroy	begin to destroy	Royalton set out to destroy Speed	Royalton begin to destroy Speed	No	1
be supported in	be inspired in	Their research be supported in part	Their research be inspired in part	No	1
be related to	be called	Hopelessness be related to depression	Hopelessness be called depression	No	1
be daughter of	be knighted by	Eleanor be daughter of Edward	Eleanor be knighted by Edward	No	1
be held at	be saturday at	Funeral services be held at First Baptist Church	Funeral services be saturday at First Baptist Church	No	1
be the only game in	be the only team in	Blu-ray be the only game in town	Blu-ray be the only team in town	No	1
have an army of	need experienced	Insurance companies have an army of investigators	Insurance companies need experienced investigators	No	1
brush	trail down	His lips brush her shoulder	His lips trail down her shoulder	No	1
choose to contact	send email to	customers choose to contact your organisation	customers send email to your organisation	No	1
stand	optimize	The rebels stand a chance	The rebels optimize a chance	No	1
deserve	demand	This subject deserve a post	This subject demand a post	No	1
be raised in	be a native of	Complaints be raised in the past	Complaints be a native of the past	No	1
indicate	recover	a code indicate the state or territory	a code recover the state or territory	No	1
be prepared for	be exposed to	The results be prepared for publication	The results be exposed to publication	No	1
be the best known of	be the smallest of	Histamine be the best known of these chemicals	Histamine be the smallest of these chemicals	No	1
open for	be closed for	our company open for business	our company be closed for business	No	1
browse	find link to	the individuals browse the site	the individuals find link to the site	No	1
leave the house without	love wear	ladies leave the house without their gloves	ladies love wear their gloves	No	1
be to make	be to make@R@	The plan be to make flowers	flowers be to make The plan	No	1
imply about	be true about	the poem imply about human nature	the poem be true about human nature	No	1
be organised at	be subject to change at	Additional sessions be organised at Brussels	Additional sessions be subject to change at Brussels	No	1
disappear with	get worse with	just disappear with the wind	just get worse with the wind	No	1
care for	raise	families and friends care for older people	families and friends raise older people	No	1
inhibit	neutralize	grapefruit inhibit the enzyme	grapefruit neutralize the enzyme	No	1
be offered to	be dedicated to	video be offered to the public	video be dedicated to the public	No	1
conjure up image of	be a paradise of	Nicaragua conjure up image of civil war	Nicaragua be a paradise of civil war	No	1
stay at	want to stay at	the families stay at The Ronald McDonald House	the families want to stay at The Ronald McDonald House	No	1
stop take	prescribe	women stop take the pills	women prescribe the pills	No	1
help rescue	swear to protect	the social worker help rescue him	the social worker swear to protect him	No	1
ask the question in	want to do this in	the gentleman ask the question in Texas	the gentleman want to do this in Texas	No	1
mean focus on	set the stage for	businesses mean focus on firms	businesses set the stage for firms	No	1
talk of	argue for	Jews talk of Nazis	Jews argue for Nazis	No	1
kill	kill more than	Tosca kill him	Tosca kill more than him	No	1
be grateful for	be humbled by	Readers be grateful for your insight	Readers be humbled by your insight	No	1
portray	be televised live on@R@	the comparable properties portray the subject property	the subject property be televised live on the comparable properties	No	1
run on	be installed on	The train run on another mile	The train be installed on another mile	No	1
enter into	continue in	the country enter into an oil crisis	the country continue in an oil crisis	No	1
refer	restrict	the Committee refer such action	the Committee restrict such action	No	1
be behind	catch up with	India be behind China	India catch up with China	No	1
be a sequence of	return the number of	The entire program be a sequence of steps	The entire program return the number of steps	No	1
read through	print out	Don read through our guide	Don print out our guide	No	1
be achieved without	be achieved through	Nothing great be achieved without enthusiasm	Nothing great be achieved through enthusiasm	No	1
read about	be a big fan of	Ive read about him	Ive be a big fan of him	No	1
appreciate	understand	Customers appreciate the suggestion	Customers understand the suggestion	No	1
brush	want@R@	His lips brush her shoulder	her shoulder want His lips	No	1
deserve	be given	This subject deserve a post	This subject be given a post	No	1
select	customize	The search engine select all records	The search engine customize all records	No	1
come across	stumble upon	this guy come across the front of the stage	this guy stumble upon the front of the stage	No	1
introduce	pick	Google introduce Video search	Google pick Video search	No	1
be located off	pass under	This property be located off the A4	This property pass under the A4	No	1
know about	take care of	Many of you know about the site	Many of you take care of the site	No	1
mention	monitor	The Gita mention the caste system	The Gita monitor the caste system	No	1
share	split	The experts share their experiences	The experts split their experiences	No	1
interfere with	have nothing to do with	parents interfere with visitation	parents have nothing to do with visitation	No	1
sentence	acquit	Her father sentence him	Her father acquit him	No	1
consider	develop	My friend consider liposuction	My friend develop liposuction	No	1
be sure of	be pleased with	Democrats be sure of the answer	Democrats be pleased with the answer	No	1
be generous of	worship god in	Some of them be generous of their time	Some of them worship god in their time	No	1
carry	be required to carry	Every man carry an enemy	Every man be required to carry an enemy	No	1
leave the house without	try to put on	ladies leave the house without their gloves	ladies try to put on their gloves	No	1
grow up with	be fascinated with	Leif grow up with his family	Leif be fascinated with his family	No	1
be risky for	be preferable for	secured loans be risky for lenders	secured loans be preferable for lenders	No	1
want to drive	be a passenger in	everybody want to drive a Porsche	everybody be a passenger in a Porsche	No	1
exist on	disappear from	a letter exist on the machine	a letter disappear from the machine	No	1
apply for	be offered	Applicants apply for grants	Applicants be offered grants	No	1
treat people like	vote like	the associates treat people like customers	the associates vote like customers	No	1
be gonna go to	didnt go to	Best Actor be gonna go to Mickey Rourke	Best Actor didnt go to Mickey Rourke	No	1
be a work in	make a good deal of	This website be a work in progress	This website make a good deal of progress	No	1
be remembered with	bring a sense of	this event be remembered with fireworks	this event bring a sense of fireworks	No	1
be good for	appeal to	Economic development be good for the area	Economic development appeal to the area	No	1
publish	be the editor of	The New York Times publish the Pentagon Papers	The New York Times be the editor of the Pentagon Papers	No	1
want to use	have trouble with	others want to use touch	others have trouble with touch	No	1
say wonderful thing about	have the same thought as	The staff say wonderful thing about him	The staff have the same thought as him	No	1
go out of	be put out of	The media go out of their way	The media be put out of their way	No	1
meet on	meet via	The clubs meet on Long Island	The clubs meet via Long Island	No	1
give to	speak to	Moses give to the people of Israel	Moses speak to the people of Israel	No	1
be opposed in	be attached in	This blow be opposed in the 1950s	This blow be attached in the 1950s	No	1
be common for	be desirable for	This problem be common for those countries	This problem be desirable for those countries	No	1
come to take	go with	Jesus come to take His church	Jesus go with His church	No	1
appear before	be the former chairman of	Gabriel appear before him	Gabriel be the former chairman of him	No	1
have a stockpile of	bring a couple of	Hezbollah have a stockpile of 40,000 rockets	Hezbollah bring a couple of 40,000 rockets	No	1
tease	miss	The guys tease their fans	The guys miss their fans	No	1
agree to use	be prohibited from use	Visitors agree to use the web site	Visitors be prohibited from use the web site	No	1
come ask for	be afraid to ask for	somebody come ask for his assistance	somebody be afraid to ask for his assistance	No	1
shoot	capture	Jenna shoot Frank	Jenna capture Frank	No	1
be removed from	be put in	a lie be removed from reality	a lie be put in reality	No	1
be the younger brother of	become a close friend of	Dulles be the younger brother of John Foster Dulles	Dulles become a close friend of John Foster Dulles	No	1
need to use	need more than	Most users need to use this feature	Most users need more than this feature	No	1
seek	retain	the lawsuit seek unspecified damages	the lawsuit retain unspecified damages	No	1
be worth more than	be more valuable than@R@	the scope be worth more than the rifle	the rifle be more valuable than the scope	No	1
relocate from	visit from	Most of my family relocate from New York	Most of my family visit from New York	No	1
occur in	develop in	this type of malfunction occur in the future	this type of malfunction develop in the future	No	1
turn	inspire	The sounds turn his stomach	The sounds inspire his stomach	No	1
rest	bow	Florence rest a moment	Florence bow a moment	No	1
know after	win after	Everybody know after workout	Everybody win after workout	No	1
trust	admire	any soul trust Him	any soul admire Him	No	1
have a beneficial effect on	be shown to reduce	viruses have a beneficial effect on health	viruses be shown to reduce health	No	1
come from	come into	the colors come from the sunlight	the colors come into the sunlight	No	1
be subjected to	be safe from	No one be subjected to arbitrary or unlawful interference	No one be safe from arbitrary or unlawful interference	No	1
do nothing at	be bad at	Peter do nothing at the moment	Peter be bad at the moment	No	1
run until	open on	This exhibit run until July 6 , 2008	This exhibit open on July 6 , 2008	No	1
be happy with	hear about	parents be happy with their schools	parents hear about their schools	No	1
stand	detect	The rebels stand a chance	The rebels detect a chance	No	1
update	translate	the search engines update their information	the search engines translate their information	No	1
please tell	say thank	suggestions please tell your friends	suggestions say thank your friends	No	1
suggest	urge	passages suggest the story	passages urge the story	No	1
be separated from	be incorporated into	The islands be separated from the mainland	The islands be incorporated into the mainland	No	1
open for	grow listen to	our company open for business	our company grow listen to business	No	1
face the threat of	enter a period of	London face the threat of the IRA.	London enter a period of the IRA.	No	1
aim	outrage	The hunters aim their weapons	The hunters outrage their weapons	No	1
speak	dont speak	The staff speak English	The staff dont speak English	No	1
travel to	grow up in	The exhibition travel to the Whitney Museum of American Art	The exhibition grow up in the Whitney Museum of American Art	No	1
open in	be closed in	This link open in a new window	This link be closed in a new window	No	1
want to boost	increase	Obama want to boost the defense budget	Obama increase the defense budget	No	1
go see	need to see	Steve go see the horses	Steve need to see the horses	No	1
make in	make a real difference in	GENERIC DRUG make in Florida	GENERIC DRUG make a real difference in Florida	No	1
be deeper than	be greater than	bins be deeper than the shelf	bins be greater than the shelf	No	1
have many benefit for	be essential to maintain	the partnership have many benefit for both companies	the partnership be essential to maintain both companies	No	1
remind	shake	Tyra remind CariDee	Tyra shake CariDee	No	1
be given	be denied	client be given two options	client be denied two options	No	1
learn	earn	Students learn contract administration	Students earn contract administration	No	1
reiterate	be criticized for	Amnesty International reiterate its call	Amnesty International be criticized for its call	No	1
see to	lie to	China 's internet satellites see to internetcafe	China 's internet satellites lie to internetcafe	No	1
be good at	be chosen above	Florence be good at mathematics	Florence be chosen above mathematics	No	1
set up	close up	Parents set up the furniture	Parents close up the furniture	No	1
end up marry	make out with	Dad end up marry Mom	Dad make out with Mom	No	1
appear to	announce to	God appear to Cornelius	God announce to Cornelius	No	1
make some for	do anything for	friends make some for him	friends do anything for him	No	1
be kind to	be patient with	Jock be kind to him	Jock be patient with him	No	1
seem to occur to	have no interest in@R@	a thought seem to occur to him	him have no interest in a thought	No	1
silence	lash out at	The King silence the opposition	The King lash out at the opposition	No	1
remind	recruit	Tyra remind CariDee	Tyra recruit CariDee	No	1
have access to	have no access to	the debugger have access to the source code	the debugger have no access to the source code	No	1
stop take	keep take	women stop take the pills	women keep take the pills	No	1
have peace with	punish@R@	the believer have peace with God	God punish the believer	No	1
cover	exclude	The course cover all these areas	The course exclude all these areas	No	1
tease	whisper to	The guys tease their fans	The guys whisper to their fans	No	1
be good as	depend on	our children be good as theirs	our children depend on theirs	No	1
stumble upon	try to make	glad i stumble upon this site	glad i try to make this site	No	1
owe to	be faithful to	Americans owe to these soldiers	Americans be faithful to these soldiers	No	1
do no damage to	help to keep	The program do no damage to any data	The program help to keep any data	No	1
have the face of	scream like	The boy have the face of an angel	The boy scream like an angel	No	1
be silenced by	become a target of	our voices be silenced by fear	our voices become a target of fear	No	1
mess with	catch up with	No one mess with the Executioner	No one catch up with the Executioner	No	1
come of	be 50 year of	Baby boomers come of age	Baby boomers be 50 year of age	No	1
spend 6 month in	spend many year in	The wine spend 6 month in barrel	The wine spend many year in barrel	No	1
have nothing to do with	be relevant to	the cable have nothing to do with the operating system	the cable be relevant to the operating system	No	1
look to meet	train	Bella look to meet other dogs	Bella train other dogs	No	1
walk for	hang for	Men walk for two to three hours	Men hang for two to three hours	No	1
trust in	be justified by	Israel trust in lies	Israel be justified by lies	No	1
form one of	remain one of	This survey form one of a series	This survey remain one of a series	No	1
stay in	be removed from	the paint stay in the cracks	the paint be removed from the cracks	No	1
accept	refuse	the adults accept the change	the adults refuse the change	No	1
trust	admire	Syl trust him	Syl admire him	No	1
be grown for	be an excellent source of	Cayenne Peppers be grown for thousands of years	Cayenne Peppers be an excellent source of thousands of years	No	1
be open from	close at	The museum be open from March	The museum close at March	No	1
be something with	take some time for	the search engines be something with many variables	the search engines take some time for many variables	No	1
discern	contravene	Our eye discern things	Our eye contravene things	No	1
construct	personalize	The organization construct a Web site	The organization personalize a Web site	No	1
come into	go out of	The Freedom of Information Act come into operation	The Freedom of Information Act go out of operation	No	1
command	cry out to@R@	Jesus command the wind	the wind cry out to Jesus	No	1
be dragged from	be allowed to return to	The victims be dragged from their homes	The victims be allowed to return to their homes	No	1
be offered to	be reserved for	Exemptions be offered to veterans	Exemptions be reserved for veterans	No	1
look	draw	all items look information	all items draw information	No	1
have thousand of	make billion of	These list have thousand of names	These list make billion of names	No	1
have one thing on	be scared out of	the Germans have one thing on their minds	the Germans be scared out of their minds	No	1
pause in	kneel down in	Sam pause in the hallway	Sam kneel down in the hallway	No	1
be better than	be more expensive than	no one be better than any other	no one be more expensive than any other	No	1
be happy to do	promise to do	teens be happy to do their research	teens promise to do their research	No	1
start take	suggest	Students start take courses	Students suggest courses	No	1
defend	have the right to defend	The Navy defend its presence	The Navy have the right to defend its presence	No	1
say wonderful thing about	love every minute of	The staff say wonderful thing about him	The staff love every minute of him	No	1
be a rite of	be the month of	male circumcision be a rite of passage	male circumcision be the month of passage	No	1
pardon	prosecute	President Bush pardon I. Lewis Libby	President Bush prosecute I. Lewis Libby	No	1
access	delete	Users access their own personal information	Users delete their own personal information	No	1
eat dinner with	go bowl with	Kelly eat dinner with her family	Kelly go bowl with her family	No	1
be unique to	be true in	the changes be unique to each application	the changes be true in each application	No	1
be the son of	be the wife of	Charles be the son of the founder	Charles be the wife of the founder	No	1
surprise	appeal to	These activities surprise no one	These activities appeal to no one	No	1
be a list of	be for	the UFOC be a list of franchisees	the UFOC be for franchisees	No	1
permit	quantify	The Supreme Court permit the defendant	The Supreme Court quantify the defendant	No	1
be familar with	be interested in learn	your audience be familar with all this	your audience be interested in learn all this	No	1
search for	buy	Users search for lessons	Users buy lessons	No	1
have trouble with	do like	children have trouble with the lesson	children do like the lesson	No	1
be target for	have zero tolerance for	these genes be target for new therapies	these genes have zero tolerance for new therapies	No	1
have hundred of	have million of	lawyers have hundred of other cases	lawyers have million of other cases	No	1
remember	express	No one remember the speech	No one express the speech	No	1
agree with	disagree with	the Torah agree with science	the Torah disagree with science	No	1
return	be returned	soldiers return fire	soldiers be returned fire	No	1
call for	urge	The contract call for the developers	The contract urge the developers	No	1
urge	be gracious to	Japan urge S Korea	Japan be gracious to S Korea	No	1
go wrong with	say good thing about	things go wrong with XP	things say good thing about XP	No	1
decide to go to	walk around	Emory Blake decide to go to Auburn	Emory Blake walk around Auburn	No	1
fail to file	be filed by@R@	The claimant fail to file a motion	a motion be filed by The claimant	No	1
accept	reject	Lewis accept this truth	Lewis reject this truth	No	1
be a favorite of	be a novel by	Eddie be a favorite of colleges	Eddie be a novel by colleges	No	1
be close to	be shown above	the destination be close to the current position	the destination be shown above the current position	No	1
stop with	occur with	the changes stop with childbirth	the changes occur with childbirth	No	1
be grateful to	look to work with	the editor be grateful to the DVD	the editor look to work with the DVD	No	1
bypass	reset	individuals or domains bypass the filters	individuals or domains reset the filters	No	1
be utilized	be directed	items be utilized all the time	items be directed all the time	No	1
get word to	fight beside	Jr. get word to Washington	Jr. fight beside Washington	No	1
deny	affirm	Defendants deny their actions	Defendants affirm their actions	No	1
grow up with	be best for@R@	Leif grow up with his family	his family be best for Leif	No	1
get money out of	have the money in	Home equity loans get money out of your house	Home equity loans have the money in your house	No	1
be responsible for	accept no responsibility for	Customer be responsible for all shipping and handling charges	Customer accept no responsibility for all shipping and handling charges	No	1
keep get into	try to avoid	Some of us keep get into trouble	Some of us try to avoid trouble	No	1
be a consultant to	become chairman of	Dan be a consultant to cities	Dan become chairman of cities	No	1
be the author of	be coauthor of	God be the author of sin	God be coauthor of sin	No	1
be difficult to	prefer to	the language be difficult to him	the language prefer to him	No	1
soften with	shine with	Fabric soften with washing	Fabric shine with washing	No	1
pass to	pass to@R@	Bulgaria pass to Byzantine rule	Byzantine rule pass to Bulgaria	No	1
drop	send	The pilot drop the marker	The pilot send the marker	No	1
work around	work all over	a version work around the problem	a version work all over the problem	No	1
avoid make	have the right to make	Employees avoid make corrections	Employees have the right to make corrections	No	1
move through	move in	children move through foster care	children move in foster care	No	1
be responsible for	be not responsible for	My dad be responsible for a lot	My dad be not responsible for a lot	No	1
be a sequence of	be any combination of	The entire program be a sequence of steps	The entire program be any combination of steps	No	1
denounce	approve of	the groups denounce this situation	the groups approve of this situation	No	1
be no fan of	be big fan of	Hamilton be no fan of the suggestion	Hamilton be big fan of the suggestion	No	1
promise for	be evident for	Jesus promise for His followers	Jesus be evident for His followers	No	1
be modified at	be required at	Orders be modified at any point	Orders be required at any point	No	1
blogg about	do some research on	some doctors blogg about their patients	some doctors do some research on their patients	No	1
help provide	provide a lot of	Emerging technologies help provide solutions	Emerging technologies provide a lot of solutions	No	1
leave out	be from	This one leave out the little guy	This one be from the little guy	No	1
help bring	help establish	the Internet help bring those people	the Internet help establish those people	No	1
marry for	strip for	Lewis marry for the first time	Lewis strip for the first time	No	1
crash	race	Dad crash car	Dad race car	No	1
involve the use of	eliminate the need for	Hypnotherapy involve the use of psychotherapy	Hypnotherapy eliminate the need for psychotherapy	No	1
agree with	be happy for	Descartes agree with this view	Descartes be happy for this view	No	1
get one for	get this for	My nephew get one for christmas	My nephew get this for christmas	No	1
sell	create	Lyon sell the bush puppet	Lyon create the bush puppet	No	1
have the face of	see the face of	The boy have the face of an angel	The boy see the face of an angel	No	1
get in	jump in	a volunteer get in return	a volunteer jump in return	No	1
be fought for	fester for	the war be fought for the colonies	the war fester for the colonies	No	1
disagree with	vote for	bettors disagree with one another	bettors vote for one another	No	1
do to	take over	your governments do to your children	your governments take over your children	No	1
be an evening of	be a week of	The Gala be an evening of celebration	The Gala be a week of celebration	No	1
need a change in	want someone in	This country need a change in direction	This country want someone in direction	No	1
be good for	be hazardous to	Economic development be good for the area	Economic development be hazardous to the area	No	1
be $ 40 for	be $ 6 for	Program fees be $ 40 for members	Program fees be $ 6 for members	No	1
blame	oppose	India blame Pakistan	India oppose Pakistan	No	1
accept	decline	the Congressman accept contributions	the Congressman decline contributions	No	1
look like on	look beautiful on	games look like on the PS3	games look beautiful on the PS3	No	1
start take	keep take	Students start take courses	Students keep take courses	No	1
have no respect for	stand up for	The English have no respect for their language	The English stand up for their language	No	1
flee from	arrive to	Jewish refugees flee from Nazi Germany	Jewish refugees arrive to Nazi Germany	No	1
have a large number of	have the highest number of	This department have a large number of students	This department have the highest number of students	No	1
look to expand	take pride in	The band look to expand its ranks	The band take pride in its ranks	No	1
be known of	be done to save	Little be known of this state	Little be done to save this state	No	1
blogg about	like	some doctors blogg about their patients	some doctors like their patients	No	1
vote for	be opposed to	all those people vote for Barack Obama	all those people be opposed to Barack Obama	No	1
approach	explain to	Safety and Security Minister Nathi Mthethwa approach President Kgalema Motlanthe	Safety and Security Minister Nathi Mthethwa explain to President Kgalema Motlanthe	No	1
be uncommon for	be recommended for	Support groups be uncommon for this condition	Support groups be recommended for this condition	No	1
take effect in	be proposed in	the law take effect in March	the law be proposed in March	No	1
be a cousin of	be the grandfather of	Greg be a cousin of mine	Greg be the grandfather of mine	No	1
renew	attain	the Lord renew their strength	the Lord attain their strength	No	1
pull	slide	Laine pull his head	Laine slide his head	No	1
get out of	lay in	the bill get out of committee	the bill lay in committee	No	1
jostle	pertain	Xena jostle the other woman	Xena pertain the other woman	No	1
show for	be consistent with	Our study show for the first time	Our study be consistent with the first time	No	1
be satisfying to	be immediate to	artistic , sensitive , or spiritually inclined people be satisfying to him	artistic , sensitive , or spiritually inclined people be immediate to him	No	1
guarantee	guarantee the right to	zonealarm guarantee a cheap firewall	zonealarm guarantee the right to a cheap firewall	No	1
consist of	be organized into	The target group consist of volunteers	The target group be organized into volunteers	No	1
start off in	be hot in	Your baby start off in a crib	Your baby be hot in a crib	No	1
try to locate	be proud of	The owner try to locate the dog	The owner be proud of the dog	No	1
close on	move into	Pre-registration close on Thursday	Pre-registration move into Thursday	No	1
post	email	Ive post another video	Ive email another video	No	1
surrender	regain	McCain surrender his maverick status	McCain regain his maverick status	No	1
step in for	go in to get	Michelle Obama step in for her husband	Michelle Obama go in to get her husband	No	1
burn a hole in	make its way into	this money burn a hole in my pocket	this money make its way into my pocket	No	1
guide	warn	the rules guide our nation	the rules warn our nation	No	1
await the arrival of	return home with	Family members await the arrival of their loved ones	Family members return home with their loved ones	No	1
be unsure of	be confident of	Historians be unsure of the reason	Historians be confident of the reason	No	1
be difficult for	be accessible to	other foods be difficult for birds	other foods be accessible to birds	No	1
be dragged from	be unable to return to	The victims be dragged from their homes	The victims be unable to return to their homes	No	1
travel with	train@R@	The reader travel with Ben	Ben train The reader	No	1
read through	recommend read	Don read through our guide	Don recommend read our guide	No	1
pause in	look up in	Sam pause in the hallway	Sam look up in the hallway	No	1
be helpful for	be uncommon for	prenatal vitamins be helpful for women	prenatal vitamins be uncommon for women	No	1
think about	prefer	the way scientists think about their work	the way scientists prefer their work	No	1
be short on	spend a lot of	Asia be short on resources	Asia spend a lot of resources	No	1
recover	preserve	the defendant recover his costs	the defendant preserve his costs	No	1
spend about	work about	Visitors spend about two hours	Visitors work about two hours	No	1
need a bit of	take a lot of	This one need a bit of polish	This one take a lot of polish	No	1
manufacture	analyze	the companies manufacture the helicopter	the companies analyze the helicopter	No	1
lift	bow	Rezo lift his head	Rezo bow his head	No	1
play on	be the captain of	Christmas music play on the stereo	Christmas music be the captain of the stereo	No	1
be pregnant at	be home at	Women be pregnant at the time of the survey	Women be home at the time of the survey	No	1
sign with	cheer for	Ray J sign with Elektra	Ray J cheer for Elektra	No	1
rely on	enable	Ukraine rely on support	Ukraine enable support	No	1
be deferred until	occur until	Student loans be deferred until graduation	Student loans occur until graduation	No	1
need to repeat	continue to repeat	Users need to repeat this cycle	Users continue to repeat this cycle	No	1
think for	fall silent for	Slim think for a while	Slim fall silent for a while	No	1
be sold to	be leased to	your account be sold to a third party	your account be leased to a third party	No	1
be good news for	be true for	the US be good news for the rest of us	the US be true for the rest of us	No	1
be deeper than	be finer than	bins be deeper than the shelf	bins be finer than the shelf	No	1
depend on	be focused on	Salary levels depend on qualifications and experience	Salary levels be focused on qualifications and experience	No	1
want to leave	want to be on	Nobody want to leave the hospital	Nobody want to be on the hospital	No	1
